ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
Q9Y493|cell-envelope	Cell_membrane	0.9999	0.0001	0.0	0.0002	0.0001	0.9993	0.0002	0.0	0.0001	0.0	0.0
Q75N90|secreted	Extracellular	0.0	0.0009	0.003	0.9956	0.0001	0.0001	0.0	0.0	0.0	0.0003	0.0
P01266|secreted	Extracellular	0.0137	0.0021	0.0048	0.9632	0.0002	0.015	0.0079	0.0	0.0002	0.0065	0.0
Q6WRI0|secreted	Extracellular	0.1017	0.0075	0.0268	0.7623	0.0018	0.1299	0.0478	0.0003	0.0112	0.0123	0.0
A8TX70|secreted	Extracellular	0.0009	0.0002	0.0527	0.8641	0.0001	0.0013	0.0716	0.0	0.0	0.01	0.0
P16112|secreted	Extracellular	0.0025	0.0074	0.0119	0.9704	0.0029	0.0018	0.0047	0.0002	0.0	0.0007	0.0
P02751|secreted	Extracellular	0.0002	0.0	0.0	0.9989	0.0	0.0002	0.0003	0.0	0.0	0.0004	0.0
P08922|cell-envelope	Cell_membrane	0.9985	0.0	0.0	0.0	0.0	0.996	0.0016	0.0	0.0007	0.0017	0.0
Q3ZCN5|secreted	Extracellular	0.0	0.0	0.0002	0.9994	0.0	0.0001	0.0002	0.0	0.0	0.0002	0.0
Q6UVK1|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9989	0.0009	0.0	0.0001	0.0	0.0
A6NMZ7|secreted	Extracellular	0.0037	0.009	0.0709	0.8152	0.0031	0.0148	0.0664	0.0005	0.0001	0.02	0.0
P12259|secreted	Extracellular	0.1306	0.0973	0.0977	0.5073	0.0193	0.1201	0.0977	0.0013	0.0136	0.0442	0.0015
Q58EX2|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9982	0.0017	0.0	0.0001	0.0	0.0
P0C091|secreted	Endoplasmic_reticulum	0.0778	0.0052	0.0106	0.3271	0.0374	0.01	0.3836	0.0019	0.0363	0.186	0.0019
Q8TD84|cell-envelope	Cell_membrane	0.9958	0.0001	0.0001	0.001	0.0001	0.9882	0.0094	0.0	0.0006	0.0005	0.0
Q9P2N4|secreted	Extracellular	0.0002	0.0006	0.0013	0.9975	0.0	0.0003	0.0001	0.0	0.0	0.0001	0.0
Q9Y4D7|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
P59510|secreted	Extracellular	0.0016	0.0014	0.0022	0.9935	0.0003	0.0015	0.0003	0.0	0.0001	0.0007	0.0
Q9ULL4|cell-envelope	Cell_membrane	0.9876	0.0004	0.0037	0.0029	0.001	0.9873	0.0022	0.0001	0.0002	0.0002	0.0021
O75096|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
Q9UIW2|cell-envelope	Cell_membrane	0.9992	0.0	0.0	0.0012	0.0003	0.9951	0.0029	0.0	0.0003	0.0001	0.0
O75051|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
Q4ZHG4|secreted	Extracellular	0.0231	0.0007	0.0014	0.815	0.0004	0.065	0.0633	0.0001	0.0021	0.0521	0.0
Q9HCM2|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
P51805|cell-envelope	Cell_membrane	0.9977	0.0007	0.0004	0.0011	0.0046	0.9902	0.002	0.0002	0.0001	0.0001	0.0005
Q8IZC6|secreted	Extracellular	0.1077	0.0188	0.0571	0.6191	0.0306	0.2233	0.0124	0.001	0.0164	0.0213	0.0
P20908|secreted	Extracellular	0.0269	0.0005	0.0009	0.6977	0.0011	0.0308	0.0533	0.0	0.0982	0.1173	0.0
O15031|cell-envelope	Cell_membrane	0.9983	0.0001	0.0	0.0006	0.0004	0.9974	0.0012	0.0	0.0001	0.0002	0.0
Q14767|secreted	Extracellular	0.0001	0.011	0.0736	0.9004	0.0128	0.0004	0.0001	0.0002	0.0001	0.0014	0.0
P12107|secreted	Extracellular	0.2684	0.0097	0.0151	0.3567	0.0162	0.198	0.0331	0.0003	0.2682	0.1027	0.0
Q05707|secreted	Extracellular	0.0747	0.001	0.0017	0.7484	0.005	0.0485	0.0675	0.0	0.0623	0.0655	0.0
Q9BXP8|secreted	Extracellular	0.0001	0.0	0.0001	0.998	0.0	0.0005	0.0004	0.0	0.0	0.001	0.0
Q8N6G6|secreted	Extracellular	0.0174	0.0001	0.0002	0.9704	0.0	0.0183	0.0059	0.0	0.001	0.0042	0.0
P25940|secreted	Extracellular	0.001	0.0	0.0	0.9938	0.0	0.0024	0.0014	0.0	0.0003	0.002	0.0
P0C0L4|secreted	Mitochondrion	0.2296	0.0148	0.0115	0.3648	0.4132	0.0511	0.1095	0.0104	0.0079	0.0125	0.0043
P0C0L5|secreted	Mitochondrion	0.2492	0.0141	0.0107	0.3287	0.4456	0.0493	0.1172	0.0118	0.0079	0.01	0.0046
P13942|secreted	Extracellular	0.0005	0.0	0.0	0.9945	0.0001	0.0018	0.0013	0.0	0.0001	0.0022	0.0
Q7Z443|cell-envelope	Cell_membrane	0.9979	0.0001	0.0	0.0	0.0004	0.9577	0.0338	0.0	0.0052	0.0027	0.0001
Q14766|secreted	Extracellular	0.0001	0.0	0.0001	0.9998	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
Q17RW2|secreted	Extracellular	0.1095	0.0181	0.0124	0.691	0.0093	0.0557	0.01	0.0	0.1794	0.024	0.0
P82987|secreted	Extracellular	0.0011	0.0001	0.0002	0.9965	0.0	0.0017	0.001	0.0	0.0001	0.0003	0.0
Q9UKP4|secreted	Extracellular	0.0001	0.0	0.0	0.9951	0.0	0.0014	0.0012	0.0	0.0002	0.0021	0.0
Q13219|secreted	Extracellular	0.0001	0.0	0.0	0.9996	0.0	0.0002	0.0001	0.0	0.0	0.0002	0.0
Q8NFW1|secreted	Extracellular	0.005	0.0002	0.0007	0.9869	0.0007	0.008	0.0013	0.0	0.0002	0.002	0.0
Q8N2S1|secreted	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0001	0.0
Q9UM73|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9997	0.0001	0.0	0.0	0.0	0.0
Q07092|secreted	Extracellular	0.0002	0.0	0.0	0.9993	0.0001	0.0004	0.0001	0.0	0.0	0.0001	0.0
P58397|secreted	Extracellular	0.0036	0.0445	0.0342	0.9132	0.0016	0.0059	0.0002	0.0	0.0002	0.0002	0.0
Q8N2E2|secreted	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O60241|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
A1L4H1|secreted	Extracellular	0.0001	0.0	0.0001	0.9976	0.0	0.0002	0.0019	0.0	0.0	0.0002	0.0
Q6ZWJ8|secreted	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9NRD9|cell-envelope	Cell_membrane	0.9969	0.0	0.0	0.0	0.0008	0.905	0.0854	0.0	0.0052	0.0034	0.0001
Q9NRD8|cell-envelope	Cell_membrane	0.9949	0.0	0.0	0.0	0.0006	0.9428	0.0423	0.0	0.0057	0.0086	0.0
O75095|secreted	Extracellular	0.0001	0.0005	0.0042	0.9945	0.0	0.0001	0.0001	0.0	0.0	0.0007	0.0
O75093|secreted	Extracellular	0.0021	0.0003	0.0009	0.9949	0.0001	0.0019	0.0005	0.0	0.0001	0.0012	0.0
O94813|secreted	Extracellular	0.0	0.0	0.0001	0.9989	0.0	0.0002	0.0002	0.0	0.0	0.0004	0.0
O75094|secreted	Extracellular	0.0001	0.0001	0.0003	0.9988	0.0	0.0003	0.0001	0.0	0.0	0.0004	0.0
O60242|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9993	0.0006	0.0	0.0001	0.0001	0.0
P05997|secreted	Extracellular	0.0001	0.0	0.0	0.9978	0.0	0.0003	0.0012	0.0	0.0	0.0008	0.0
P02458|secreted	Extracellular	0.0001	0.0	0.0	0.9959	0.0	0.0004	0.0005	0.0	0.0	0.0031	0.0
Q92626|secreted	Extracellular	0.0188	0.0001	0.0003	0.9022	0.0005	0.0144	0.0359	0.0	0.0155	0.0311	0.0
Q9ULB1|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9998	0.0002	0.0	0.0	0.0	0.0
P01023|secreted	Extracellular	0.0008	0.0	0.0002	0.8723	0.0001	0.0005	0.0947	0.0	0.0	0.032	0.0
O94910|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
P02461|secreted	Extracellular	0.0001	0.0	0.0	0.9977	0.0	0.0007	0.0008	0.0	0.0	0.0007	0.0
P02452|secreted	Extracellular	0.0	0.0	0.0016	0.9937	0.0	0.0001	0.0003	0.0	0.0	0.0043	0.0
A1KZ92|secreted	Extracellular	0.0248	0.0008	0.0019	0.9669	0.0007	0.0145	0.0112	0.0	0.0003	0.0036	0.0
Q6P1J6|cell-envelope	Cell_membrane	0.9732	0.0001	0.0002	0.0218	0.0174	0.9139	0.0367	0.0009	0.0007	0.0073	0.001
P22897|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0	0.0
A8K2U0|secreted	Extracellular	0.0005	0.0	0.0007	0.965	0.0005	0.0002	0.0134	0.0	0.0	0.02	0.0
Q9HAR2|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9987	0.0011	0.0	0.0001	0.0001	0.0
Q92729|cell-envelope	Cell_membrane	0.9994	0.0	0.0	0.0	0.0001	0.9954	0.0038	0.0	0.0004	0.0002	0.0
Q6YHK3|cell-envelope	Cell_membrane	0.771	0.0031	0.0026	0.1547	0.0011	0.6176	0.1375	0.0001	0.0114	0.0712	0.0009
Q76LX8|secreted	Extracellular	0.0957	0.0053	0.0043	0.8194	0.0042	0.0422	0.0083	0.0001	0.0806	0.0355	0.0001
Q8TER0|secreted	Extracellular	0.0001	0.0	0.0001	0.9998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q92954|secreted	Extracellular	0.0002	0.0	0.0	0.9975	0.0	0.0015	0.0007	0.0	0.0	0.0003	0.0
P39059|secreted	Extracellular	0.0047	0.001	0.0022	0.9744	0.0031	0.0087	0.0043	0.0	0.0006	0.0057	0.0
O75976|cell-envelope	Cell_membrane	0.9972	0.0	0.0	0.0003	0.0	0.9858	0.0098	0.0	0.0031	0.001	0.0
P08069|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9993	0.0006	0.0	0.0	0.0	0.0
P08123|secreted	Extracellular	0.0	0.0	0.002	0.9613	0.0	0.0001	0.0002	0.0	0.0	0.0365	0.0
Q9UPX0|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0001	0.9984	0.001	0.0	0.0003	0.0	0.0
Q9BZA7|cell-envelope	Cell_membrane	0.9993	0.0	0.0	0.0	0.0001	0.998	0.0016	0.0	0.0002	0.0001	0.0
O94856|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9983	0.0012	0.0	0.0004	0.0	0.0
Q8IZF2|cell-envelope	Cell_membrane	0.9943	0.0	0.0	0.0	0.0001	0.9914	0.004	0.0	0.0015	0.0029	0.0
Q96PE1|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9992	0.0007	0.0	0.0001	0.0	0.0
Q12913|cell-envelope	Cell_membrane	0.9992	0.0	0.0	0.0	0.0001	0.998	0.0016	0.0	0.0001	0.0002	0.0
O15399|cell-envelope	Cell_membrane	0.9997	0.0	0.0	0.0	0.0	0.9976	0.0019	0.0	0.0004	0.0001	0.0
O14594|secreted	Extracellular	0.0001	0.0	0.0	0.998	0.0	0.0003	0.0014	0.0	0.0	0.0003	0.0
Q6UXX5|secreted	Extracellular	0.1059	0.0007	0.0025	0.8109	0.0005	0.0832	0.0862	0.0	0.0036	0.0124	0.0
Q9BYE9|cell-envelope	Cell_membrane	0.9934	0.0003	0.0	0.0	0.0009	0.9168	0.0666	0.0001	0.0104	0.0048	0.0
Q9C0A0|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0	0.0
P08575|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9904	0.0085	0.0	0.001	0.0001	0.0
Q9NS15|secreted	Extracellular	0.0206	0.0001	0.0003	0.9064	0.0	0.0487	0.0182	0.0	0.0059	0.0205	0.0
Q9UQP3|secreted	Extracellular	0.002	0.0	0.0001	0.7236	0.0	0.0019	0.2239	0.0	0.0002	0.0503	0.0
Q4KMG0|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9998	0.0001	0.0	0.0	0.0	0.0
Q9P218|secreted	Extracellular	0.2229	0.0427	0.0766	0.5686	0.0145	0.2399	0.0341	0.0015	0.0105	0.0031	0.0085
O95428|secreted	Extracellular	0.0	0.0	0.0001	0.9998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P32004|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0001	0.0	0.0
Q8TDY8|cell-envelope	Cell_membrane	0.8955	0.0007	0.0002	0.0769	0.0001	0.8947	0.0167	0.0	0.0076	0.0031	0.0
O60500|cell-envelope	Cell_membrane	0.9977	0.0	0.0	0.0016	0.0001	0.9963	0.0015	0.0	0.0002	0.0003	0.0
Q9HC56|cell-envelope	Cell_membrane	0.9991	0.0003	0.0	0.0	0.0011	0.9837	0.0127	0.0001	0.0019	0.0001	0.0
Q14957|cell-envelope	Cell_membrane	0.9995	0.0001	0.0	0.0001	0.0002	0.9969	0.0025	0.0	0.0002	0.0001	0.0
Q13201|secreted	Extracellular	0.0869	0.034	0.1965	0.3305	0.1318	0.0316	0.1357	0.0101	0.0405	0.0851	0.0042
Q8TE57|secreted	Extracellular	0.0003	0.0026	0.0029	0.9936	0.0006	0.0002	0.0001	0.0	0.0	0.0001	0.0
Q8WXS8|secreted	Extracellular	0.0066	0.0005	0.0005	0.9956	0.0002	0.0018	0.0008	0.0	0.0002	0.0005	0.0
Q86SQ4|cell-envelope	Cell_membrane	0.9983	0.0	0.0	0.0	0.0	0.9921	0.0047	0.0	0.0014	0.0017	0.0
P41594|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
O95450|secreted	Extracellular	0.0038	0.0003	0.0002	0.9386	0.0001	0.0054	0.0394	0.0	0.0013	0.0147	0.0
Q8TE59|secreted	Extracellular	0.022	0.0152	0.0091	0.9445	0.001	0.0162	0.0026	0.0	0.0037	0.0077	0.0
O15072|secreted	Extracellular	0.007	0.0096	0.0081	0.9378	0.0001	0.0392	0.0039	0.0	0.0	0.0014	0.0
Q13255|cell-envelope	Cell_membrane	0.9992	0.0	0.0	0.0	0.0001	0.9899	0.0086	0.0	0.0011	0.0003	0.0
Q6IE37|secreted	Extracellular	0.1545	0.0423	0.0782	0.4359	0.0048	0.0664	0.2457	0.0003	0.039	0.0871	0.0005
O75339|secreted	Extracellular	0.0016	0.0139	0.0019	0.9815	0.0001	0.0022	0.0002	0.0	0.0	0.0002	0.0
Q9P2J2|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
P20701|cell-envelope	Cell_membrane	0.9926	0.0011	0.0002	0.0002	0.002	0.9163	0.0597	0.0003	0.0135	0.0067	0.0001
P07996|secreted	Extracellular	0.0392	0.0003	0.0006	0.5431	0.0005	0.0193	0.3158	0.0001	0.0009	0.1193	0.0
O14917|cell-envelope	Cell_membrane	0.9991	0.0003	0.0	0.0	0.0006	0.963	0.0315	0.0001	0.0044	0.0001	0.0
Q8IUL8|secreted	Extracellular	0.0001	0.0	0.0	0.9986	0.0	0.0002	0.0011	0.0	0.0	0.0	0.0
P11215|cell-envelope	Cell_membrane	0.9971	0.0	0.0	0.001	0.0008	0.975	0.0205	0.0	0.0012	0.0013	0.0001
Q8TAB3|cell-envelope	Cell_membrane	0.9978	0.0009	0.0001	0.0003	0.0013	0.9735	0.0221	0.0001	0.0013	0.0003	0.0
Q14993|secreted	Extracellular	0.0005	0.0	0.0	0.9983	0.0	0.0012	0.0004	0.0	0.0	0.0001	0.0
Q9NRM1|secreted	Extracellular	0.2551	0.1641	0.0313	0.464	0.0952	0.0809	0.0189	0.0006	0.1165	0.0281	0.0003
Q96KG7|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9995	0.0002	0.0	0.0002	0.0	0.0
P35590|cell-envelope	Cell_membrane	0.9993	0.0	0.0	0.0	0.0	0.9967	0.0026	0.0	0.0004	0.0002	0.0
Q9HCL0|cell-envelope	Cell_membrane	0.9996	0.0001	0.0	0.0	0.0002	0.9971	0.0021	0.0	0.0004	0.0001	0.0
Q7RTY7|secreted	Extracellular	0.1275	0.0049	0.0107	0.8127	0.0441	0.0493	0.06	0.0029	0.0008	0.0138	0.0008
P23229|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9964	0.0031	0.0	0.0003	0.0001	0.0
Q9UKP5|secreted	Extracellular	0.0018	0.0	0.0	0.937	0.0	0.012	0.0172	0.0	0.0001	0.0337	0.0
Q8TCU5|cell-envelope	Cell_membrane	0.999	0.0	0.0	0.0	0.0016	0.9553	0.0394	0.0	0.0026	0.001	0.0001
Q9BWV1|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0001	0.0	0.0
P07949|cell-envelope	Cell_membrane	0.9993	0.0	0.0	0.0	0.0	0.9988	0.0007	0.0	0.0002	0.0003	0.0
Q9H324|secreted	Extracellular	0.0	0.0	0.0001	0.999	0.0	0.0003	0.0002	0.0	0.0	0.0004	0.0
O94779|cell-envelope	Cell_membrane	0.7073	0.0076	0.0086	0.2398	0.0049	0.5739	0.0892	0.0437	0.0135	0.0176	0.0011
Q8TE56|secreted	Extracellular	0.0001	0.0	0.0	0.9991	0.0	0.0004	0.0001	0.0	0.0	0.0003	0.0
Q96JA1|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9998	0.0001	0.0	0.0001	0.0	0.0
P41180|cell-envelope	Cell_membrane	0.9988	0.0	0.0	0.0	0.0	0.9921	0.0059	0.0	0.0014	0.0006	0.0
Q7Z7G0|secreted	Extracellular	0.0518	0.0005	0.0006	0.9144	0.0005	0.053	0.0108	0.0	0.0117	0.0085	0.0
Q6UY14|secreted	Extracellular	0.0001	0.0	0.0	0.9999	0.0	0.0	0.0001	0.0	0.0	0.0	0.0
O95206|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
P00450|secreted	Extracellular	0.0013	0.0002	0.002	0.7939	0.0004	0.0004	0.1076	0.0	0.0	0.0953	0.0
P53708|cell-envelope	Cell_membrane	0.9965	0.0	0.0	0.0	0.0001	0.9922	0.0026	0.0	0.0012	0.0039	0.0
Q08174|cell-envelope	Cell_membrane	0.9988	0.0	0.0	0.0001	0.0008	0.9633	0.0285	0.0001	0.0059	0.0013	0.0
P29323|cell-envelope	Cell_membrane	0.9877	0.0	0.0	0.0067	0.0002	0.9794	0.0094	0.0	0.0024	0.0018	0.0
P26006|cell-envelope	Cell_membrane	0.9994	0.0	0.0	0.0	0.0001	0.9733	0.023	0.0	0.003	0.0005	0.0
Q02413|cell-envelope	Cell_membrane	0.6444	0.0004	0.0003	0.2705	0.0003	0.6044	0.0892	0.0	0.0042	0.0306	0.0
P06756|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9986	0.0012	0.0	0.0001	0.0001	0.0
P20594|cell-envelope	Cell_membrane	0.998	0.0001	0.0	0.0004	0.0089	0.9711	0.0173	0.0008	0.0002	0.001	0.0002
A6BM72|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9991	0.0004	0.0	0.0005	0.0	0.0
O60391|cell-envelope	Cell_membrane	0.9974	0.0009	0.0001	0.0005	0.0076	0.841	0.1343	0.0009	0.01	0.0012	0.0036
Q9P2E7|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9995	0.0003	0.0	0.0001	0.0	0.0
Q86SJ6|cell-envelope	Cell_membrane	0.9832	0.0	0.0	0.0028	0.0	0.9904	0.0049	0.0	0.0005	0.0013	0.0
Q13873|cell-envelope	Cell_membrane	0.9929	0.0004	0.0001	0.0011	0.0001	0.9815	0.0119	0.0	0.0028	0.0022	0.0
Q5VY43|cell-envelope	Cell_membrane	0.9994	0.0	0.0	0.0007	0.0	0.9989	0.0002	0.0	0.0002	0.0	0.0
P20023|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9995	0.0004	0.0	0.0001	0.0	0.0
Q9H2E6|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9991	0.0008	0.0	0.0001	0.0	0.0
A8MWY0|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9998	0.0001	0.0	0.0001	0.0	0.0
P12109|secreted	Extracellular	0.0009	0.0001	0.0002	0.9873	0.0005	0.0024	0.0045	0.0	0.0005	0.0046	0.0
Q9P232|cell-envelope	Cell_membrane	0.9101	0.0011	0.0007	0.0701	0.0002	0.8357	0.053	0.0	0.0139	0.0251	0.0002
Q9UQ52|cell-envelope	Cell_membrane	0.7843	0.0001	0.0	0.1515	0.0003	0.6051	0.1451	0.0	0.0301	0.0677	0.0
Q6ZMP0|secreted	Extracellular	0.0002	0.0	0.0002	0.9988	0.0	0.0003	0.0002	0.0	0.0	0.0004	0.0
Q63HQ2|secreted	Extracellular	0.0007	0.0001	0.0007	0.9727	0.0012	0.0011	0.0087	0.0	0.0	0.0155	0.0
Q9Y6C2|secreted	Extracellular	0.0452	0.0046	0.0128	0.7717	0.0448	0.045	0.1054	0.0022	0.0019	0.0116	0.0001
Q9Y6L7|secreted	Extracellular	0.0004	0.0	0.0	0.9327	0.0	0.0007	0.0357	0.0	0.0	0.0309	0.0
Q9ULK0|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9984	0.0012	0.0	0.0002	0.0	0.0
Q9Y2E5|secreted	Endoplasmic_reticulum	0.4448	0.0003	0.0009	0.3811	0.008	0.1404	0.3961	0.0001	0.0054	0.0664	0.0012
Q9Y5I4|cell-envelope	Cell_membrane	0.9671	0.0013	0.0003	0.0012	0.006	0.9219	0.0387	0.0001	0.0181	0.0122	0.0003
O43424|cell-envelope	Cell_membrane	0.9994	0.0	0.0	0.0	0.0002	0.9975	0.0017	0.0	0.0002	0.0004	0.0
P29322|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9969	0.002	0.0	0.001	0.0	0.0
P32926|cell-envelope	Cell_membrane	0.7277	0.0003	0.0002	0.2114	0.0006	0.715	0.0254	0.0	0.0109	0.0361	0.0
Q9NQ36|secreted	Extracellular	0.0001	0.0001	0.0002	0.9913	0.0	0.0006	0.0028	0.0	0.0001	0.0049	0.0
Q15375|cell-envelope	Cell_membrane	0.9985	0.0	0.0	0.0	0.0003	0.9975	0.0014	0.0	0.0001	0.0006	0.0
P54753|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0001	0.9998	0.0001	0.0	0.0	0.0	0.0
Q53EL9|cell-envelope	Cell_membrane	0.9991	0.0	0.0	0.0006	0.0002	0.9976	0.0014	0.0	0.0002	0.0	0.0
Q8IX30|secreted	Extracellular	0.0	0.0	0.0	0.9992	0.0	0.0003	0.0002	0.0	0.0	0.0002	0.0
P54760|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9998	0.0001	0.0	0.0	0.0	0.0
P54764|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0
P13497|secreted	Extracellular	0.0006	0.0	0.0001	0.9535	0.0	0.0009	0.0303	0.0	0.0	0.0151	0.0
P54762|cell-envelope	Cell_membrane	0.9895	0.0	0.0	0.0094	0.0002	0.9845	0.0054	0.0	0.0001	0.0004	0.0
Q96RD9|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0002	0.9992	0.0005	0.0	0.0	0.0	0.0
