ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
Q9P273|cell-envelope	Cell_membrane	0.5555	0.105	0.1337	0.0119	0.0027	0.5224	0.0623	0.0003	0.0591	0.0942	0.0085
Q6WRI0|secreted	Extracellular	0.1017	0.0075	0.0268	0.7623	0.0018	0.1299	0.0478	0.0003	0.0112	0.0123	0.0
A8TX70|secreted	Extracellular	0.0009	0.0002	0.0527	0.8641	0.0001	0.0013	0.0716	0.0	0.0	0.01	0.0
P16112|secreted	Extracellular	0.0025	0.0074	0.0119	0.9704	0.0029	0.0018	0.0047	0.0002	0.0	0.0007	0.0
O00555|cell-envelope	Cell_membrane	0.9997	0.0001	0.0	0.0	0.0001	0.9919	0.007	0.0	0.0007	0.0003	0.0
P02751|secreted	Extracellular	0.0002	0.0	0.0	0.9989	0.0	0.0002	0.0003	0.0	0.0	0.0004	0.0
O95180|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9992	0.0007	0.0	0.0001	0.0	0.0
P08922|cell-envelope	Cell_membrane	0.9985	0.0	0.0	0.0	0.0	0.996	0.0016	0.0	0.0007	0.0017	0.0
Q3ZCN5|secreted	Extracellular	0.0	0.0	0.0002	0.9994	0.0	0.0001	0.0002	0.0	0.0	0.0002	0.0
Q6UVK1|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9989	0.0009	0.0	0.0001	0.0	0.0
A6NMZ7|secreted	Extracellular	0.0037	0.009	0.0709	0.8152	0.0031	0.0148	0.0664	0.0005	0.0001	0.02	0.0
O95477|cell-envelope	Cell_membrane	0.9355	0.0002	0.0	0.0	0.0031	0.6851	0.107	0.0001	0.0549	0.1491	0.0004
Q14667|secreted	Endoplasmic_reticulum	0.5657	0.0723	0.19	0.0152	0.0342	0.1119	0.4558	0.0051	0.067	0.0379	0.0106
P12259|secreted	Extracellular	0.1306	0.0973	0.0977	0.5073	0.0193	0.1201	0.0977	0.0013	0.0136	0.0442	0.0015
Q13936|cell-envelope	Cell_membrane	0.9981	0.0	0.0	0.0	0.0	0.9926	0.0038	0.0	0.0006	0.0029	0.0
Q7Z5N4|cell-envelope	Cell_membrane	0.9303	0.0239	0.0063	0.0055	0.0164	0.8729	0.0518	0.0006	0.0095	0.0105	0.0027
Q58EX2|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9982	0.0017	0.0	0.0001	0.0	0.0
Q86TB3|cell-envelope	Cytoplasm	0.0273	0.4196	0.568	0.0003	0.0001	0.0103	0.0002	0.0001	0.0006	0.0005	0.0003
P0C091|secreted	Endoplasmic_reticulum	0.0778	0.0052	0.0106	0.3271	0.0374	0.01	0.3836	0.0019	0.0363	0.186	0.0019
A0AVI2|cell-envelope	Endoplasmic_reticulum	0.8158	0.0525	0.048	0.0008	0.0524	0.1159	0.362	0.0025	0.2666	0.0644	0.0349
Q8TD84|cell-envelope	Cell_membrane	0.9958	0.0001	0.0001	0.001	0.0001	0.9882	0.0094	0.0	0.0006	0.0005	0.0
Q9BX84|cell-envelope	Cell_membrane	0.7308	0.1384	0.1417	0.0007	0.0072	0.4944	0.1077	0.0013	0.0381	0.062	0.0084
P35498|cell-envelope	Cell_membrane	0.9859	0.0001	0.0	0.0	0.0001	0.9625	0.0098	0.0	0.002	0.0255	0.0
Q99250|cell-envelope	Cell_membrane	0.9967	0.0	0.0	0.0	0.0	0.9894	0.0051	0.0	0.0007	0.0047	0.0
Q9NY46|cell-envelope	Cell_membrane	0.9953	0.0	0.0	0.0	0.0	0.988	0.0043	0.0	0.0007	0.007	0.0
Q15858|cell-envelope	Cell_membrane	0.9922	0.0	0.0	0.0	0.0	0.9836	0.0049	0.0	0.0009	0.0105	0.0
Q9Y5Y9|cell-envelope	Cell_membrane	0.984	0.0	0.0	0.0	0.0	0.9739	0.0049	0.0	0.001	0.0201	0.0
Q9P2N4|secreted	Extracellular	0.0002	0.0006	0.0013	0.9975	0.0	0.0003	0.0001	0.0	0.0	0.0001	0.0
Q9Y4D7|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
P59510|secreted	Extracellular	0.0016	0.0014	0.0022	0.9935	0.0003	0.0015	0.0003	0.0	0.0001	0.0007	0.0
Q9ULL4|cell-envelope	Cell_membrane	0.9876	0.0004	0.0037	0.0029	0.001	0.9873	0.0022	0.0001	0.0002	0.0002	0.0021
O75096|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
Q9UIW2|cell-envelope	Cell_membrane	0.9992	0.0	0.0	0.0012	0.0003	0.9951	0.0029	0.0	0.0003	0.0001	0.0
Q4ZHG4|secreted	Extracellular	0.0231	0.0007	0.0014	0.815	0.0004	0.065	0.0633	0.0001	0.0021	0.0521	0.0
Q9HCM2|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
O75051|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
Q13698|cell-envelope	Cell_membrane	0.9934	0.0	0.0	0.0	0.0	0.9861	0.0041	0.0	0.0009	0.0089	0.0
P51805|cell-envelope	Cell_membrane	0.9977	0.0007	0.0004	0.0011	0.0046	0.9902	0.002	0.0002	0.0001	0.0001	0.0005
Q8IZC6|secreted	Extracellular	0.1077	0.0188	0.0571	0.6191	0.0306	0.2233	0.0124	0.001	0.0164	0.0213	0.0
P20908|secreted	Extracellular	0.0269	0.0005	0.0009	0.6977	0.0011	0.0308	0.0533	0.0	0.0982	0.1173	0.0
O15031|cell-envelope	Cell_membrane	0.9983	0.0001	0.0	0.0006	0.0004	0.9974	0.0012	0.0	0.0001	0.0002	0.0
P35499|cell-envelope	Cell_membrane	0.9906	0.0	0.0	0.0	0.0	0.9811	0.0037	0.0	0.0009	0.0143	0.0
Q14767|secreted	Extracellular	0.0001	0.011	0.0736	0.9004	0.0128	0.0004	0.0001	0.0002	0.0001	0.0014	0.0
P12107|secreted	Extracellular	0.2684	0.0097	0.0151	0.3567	0.0162	0.198	0.0331	0.0003	0.2682	0.1027	0.0
Q05707|secreted	Extracellular	0.0747	0.001	0.0017	0.7484	0.005	0.0485	0.0675	0.0	0.0623	0.0655	0.0
Q9UI33|cell-envelope	Cell_membrane	0.9868	0.0	0.0	0.0	0.0	0.9816	0.0032	0.0	0.0009	0.0142	0.0
Q9BXP8|secreted	Extracellular	0.0001	0.0	0.0001	0.998	0.0	0.0005	0.0004	0.0	0.0	0.001	0.0
O60292|cell-envelope	Cytoplasm	0.0126	0.0422	0.9417	0.0001	0.0	0.0142	0.0001	0.0001	0.0005	0.0008	0.0004
Q8N6G6|secreted	Extracellular	0.0174	0.0001	0.0002	0.9704	0.0	0.0183	0.0059	0.0	0.001	0.0042	0.0
P25940|secreted	Extracellular	0.001	0.0	0.0	0.9938	0.0	0.0024	0.0014	0.0	0.0003	0.002	0.0
P0C0L4|secreted	Mitochondrion	0.2296	0.0148	0.0115	0.3648	0.4132	0.0511	0.1095	0.0104	0.0079	0.0125	0.0043
P0C0L5|secreted	Mitochondrion	0.2492	0.0141	0.0107	0.3287	0.4456	0.0493	0.1172	0.0118	0.0079	0.01	0.0046
P13942|secreted	Extracellular	0.0005	0.0	0.0	0.9945	0.0001	0.0018	0.0013	0.0	0.0001	0.0022	0.0
Q7Z443|cell-envelope	Cell_membrane	0.9979	0.0001	0.0	0.0	0.0004	0.9577	0.0338	0.0	0.0052	0.0027	0.0001
Q9HCF6|cell-envelope	Cell_membrane	0.9935	0.001	0.0001	0.0001	0.001	0.9277	0.0567	0.0001	0.006	0.0071	0.0002
Q14766|secreted	Extracellular	0.0001	0.0	0.0001	0.9998	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
Q17RW2|secreted	Extracellular	0.1095	0.0181	0.0124	0.691	0.0093	0.0557	0.01	0.0	0.1794	0.024	0.0
Q86UR5|cell-envelope	Nucleus	0.0966	0.8533	0.1361	0.0002	0.0	0.0097	0.0001	0.0	0.0002	0.0002	0.0002
P82987|secreted	Extracellular	0.0011	0.0001	0.0002	0.9965	0.0	0.0017	0.001	0.0	0.0001	0.0003	0.0
Q9UKP4|secreted	Extracellular	0.0001	0.0	0.0	0.9951	0.0	0.0014	0.0012	0.0	0.0002	0.0021	0.0
Q01118|cell-envelope	Cell_membrane	0.9069	0.0001	0.0	0.0	0.0004	0.7968	0.0301	0.0	0.0111	0.1615	0.0
Q13219|secreted	Extracellular	0.0001	0.0	0.0	0.9996	0.0	0.0002	0.0001	0.0	0.0	0.0002	0.0
Q8NFW1|secreted	Extracellular	0.005	0.0002	0.0007	0.9869	0.0007	0.008	0.0013	0.0	0.0002	0.002	0.0
Q8N2S1|secreted	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0001	0.0
O94911|cell-envelope	Cell_membrane	0.8538	0.0006	0.0001	0.0	0.0013	0.5654	0.154	0.0	0.0433	0.2349	0.0004
Q9UM73|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9997	0.0001	0.0	0.0	0.0	0.0
Q07092|secreted	Extracellular	0.0002	0.0	0.0	0.9993	0.0001	0.0004	0.0001	0.0	0.0	0.0001	0.0
P58397|secreted	Extracellular	0.0036	0.0445	0.0342	0.9132	0.0016	0.0059	0.0002	0.0	0.0002	0.0002	0.0
Q8N2E2|secreted	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O60241|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
Q09428|cell-envelope	Cell_membrane	0.9371	0.0001	0.0	0.0	0.0009	0.8523	0.0335	0.0	0.0122	0.1008	0.0001
A1L4H1|secreted	Extracellular	0.0001	0.0	0.0001	0.9976	0.0	0.0002	0.0019	0.0	0.0	0.0002	0.0
Q6ZWJ8|secreted	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9NRD9|cell-envelope	Cell_membrane	0.9969	0.0	0.0	0.0	0.0008	0.905	0.0854	0.0	0.0052	0.0034	0.0001
Q9NRD8|cell-envelope	Cell_membrane	0.9949	0.0	0.0	0.0	0.0006	0.9428	0.0423	0.0	0.0057	0.0086	0.0
Q92887|cell-envelope	Cell_membrane	0.8259	0.0004	0.0004	0.0	0.0022	0.6682	0.043	0.0	0.0172	0.2679	0.0008
O75095|secreted	Extracellular	0.0001	0.0005	0.0042	0.9945	0.0	0.0001	0.0001	0.0	0.0	0.0007	0.0
O75093|secreted	Extracellular	0.0021	0.0003	0.0009	0.9949	0.0001	0.0019	0.0005	0.0	0.0001	0.0012	0.0
P33527|cell-envelope	Cell_membrane	0.9343	0.0001	0.0	0.0	0.0018	0.8624	0.0208	0.0	0.007	0.1075	0.0002
O94813|secreted	Extracellular	0.0	0.0	0.0001	0.9989	0.0	0.0002	0.0002	0.0	0.0	0.0004	0.0
O15438|cell-envelope	Cell_membrane	0.8599	0.0001	0.0003	0.0	0.0018	0.7472	0.0296	0.0001	0.0108	0.2095	0.0006
O75094|secreted	Extracellular	0.0001	0.0001	0.0003	0.9988	0.0	0.0003	0.0001	0.0	0.0	0.0004	0.0
O60242|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9993	0.0006	0.0	0.0001	0.0001	0.0
P05997|secreted	Extracellular	0.0001	0.0	0.0	0.9978	0.0	0.0003	0.0012	0.0	0.0	0.0008	0.0
Q5T3U5|cell-envelope	Cell_membrane	0.8935	0.0002	0.0001	0.0	0.0078	0.8044	0.0363	0.0001	0.0076	0.1418	0.0015
Q96QZ7|cell-envelope	Nucleus	0.0461	0.8981	0.0928	0.0001	0.0	0.008	0.0001	0.0	0.0002	0.0004	0.0002
P02458|secreted	Extracellular	0.0001	0.0	0.0	0.9959	0.0	0.0004	0.0005	0.0	0.0	0.0031	0.0
Q92626|secreted	Extracellular	0.0188	0.0001	0.0003	0.9022	0.0005	0.0144	0.0359	0.0	0.0155	0.0311	0.0
Q9ULB1|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9998	0.0002	0.0	0.0	0.0	0.0
P01023|secreted	Extracellular	0.0008	0.0	0.0002	0.8723	0.0001	0.0005	0.0947	0.0	0.0	0.032	0.0
O94910|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
P02461|secreted	Extracellular	0.0001	0.0	0.0	0.9977	0.0	0.0007	0.0008	0.0	0.0	0.0007	0.0
P02452|secreted	Extracellular	0.0	0.0	0.0016	0.9937	0.0	0.0001	0.0003	0.0	0.0	0.0043	0.0
A1KZ92|secreted	Extracellular	0.0248	0.0008	0.0019	0.9669	0.0007	0.0145	0.0112	0.0	0.0003	0.0036	0.0
P30414|cell-envelope	Nucleus	0.0722	0.9965	0.0033	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0
Q6P1J6|cell-envelope	Cell_membrane	0.9732	0.0001	0.0002	0.0218	0.0174	0.9139	0.0367	0.0009	0.0007	0.0073	0.001
P22897|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0	0.0
A8K2U0|secreted	Extracellular	0.0005	0.0	0.0007	0.965	0.0005	0.0002	0.0134	0.0	0.0	0.02	0.0
Q9HAR2|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9987	0.0011	0.0	0.0001	0.0001	0.0
Q13635|cell-envelope	Cell_membrane	0.9966	0.0	0.0	0.0	0.0	0.9929	0.001	0.0	0.0002	0.0059	0.0
Q92729|cell-envelope	Cell_membrane	0.9994	0.0	0.0	0.0	0.0001	0.9954	0.0038	0.0	0.0004	0.0002	0.0
Q6YHK3|cell-envelope	Cell_membrane	0.771	0.0031	0.0026	0.1547	0.0011	0.6176	0.1375	0.0001	0.0114	0.0712	0.0009
P29475|cell-envelope	Cytoplasm	0.0077	0.0749	0.8785	0.0009	0.0009	0.0115	0.0008	0.0007	0.0013	0.0042	0.0265
Q6IE36|secreted	Cytoplasm	0.0274	0.0701	0.5211	0.0478	0.0063	0.0245	0.0944	0.0023	0.0096	0.1996	0.0243
Q76LX8|secreted	Extracellular	0.0957	0.0053	0.0043	0.8194	0.0042	0.0422	0.0083	0.0001	0.0806	0.0355	0.0001
O94964|secreted	Cytoplasm	0.0421	0.0788	0.8758	0.0001	0.0004	0.0261	0.0011	0.0005	0.0112	0.0054	0.0007
Q8TER0|secreted	Extracellular	0.0001	0.0	0.0001	0.9998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9UQ26|cell-envelope	Nucleus	0.0852	0.6743	0.3143	0.0002	0.0	0.0096	0.0001	0.0	0.0004	0.0004	0.0006
Q92954|secreted	Extracellular	0.0002	0.0	0.0	0.9975	0.0	0.0015	0.0007	0.0	0.0	0.0003	0.0
P39059|secreted	Extracellular	0.0047	0.001	0.0022	0.9744	0.0031	0.0087	0.0043	0.0	0.0006	0.0057	0.0
Q9UHN6|cell-envelope	Cell_membrane	0.8406	0.0181	0.0217	0.0073	0.0144	0.5446	0.14	0.0067	0.1057	0.1256	0.0159
O75976|cell-envelope	Cell_membrane	0.9972	0.0	0.0	0.0003	0.0	0.9858	0.0098	0.0	0.0031	0.001	0.0
P08069|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9993	0.0006	0.0	0.0	0.0	0.0
P08123|secreted	Extracellular	0.0	0.0	0.002	0.9613	0.0	0.0001	0.0002	0.0	0.0	0.0365	0.0
O60503|cell-envelope	Cell_membrane	0.9808	0.0012	0.0001	0.0	0.0004	0.8279	0.1036	0.0004	0.0278	0.0384	0.0002
Q9UPX0|cell-envelope	Cell_membrane	0.9998	0.0	0.0	0.0	0.0001	0.9984	0.001	0.0	0.0003	0.0	0.0
O94856|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9983	0.0012	0.0	0.0004	0.0	0.0
Q9BZA7|cell-envelope	Cell_membrane	0.9993	0.0	0.0	0.0	0.0001	0.998	0.0016	0.0	0.0002	0.0001	0.0
Q8IZF2|cell-envelope	Cell_membrane	0.9943	0.0	0.0	0.0	0.0001	0.9914	0.004	0.0	0.0015	0.0029	0.0
Q641Q2|cell-envelope	Nucleus	0.1047	0.7095	0.2517	0.0001	0.0002	0.0098	0.0006	0.0003	0.0231	0.0046	0.0002
Q9BZA8|cell-envelope	Cell_membrane	0.9993	0.0	0.0	0.0	0.0002	0.9975	0.0014	0.0	0.0006	0.0003	0.0
Q96PE1|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9992	0.0007	0.0	0.0001	0.0	0.0
Q12913|cell-envelope	Cell_membrane	0.9992	0.0	0.0	0.0	0.0001	0.998	0.0016	0.0	0.0001	0.0002	0.0
O15399|cell-envelope	Cell_membrane	0.9997	0.0	0.0	0.0	0.0	0.9976	0.0019	0.0	0.0004	0.0001	0.0
P47989|secreted	Cytoplasm	0.0229	0.0634	0.7459	0.0019	0.0138	0.0072	0.0015	0.0053	0.0003	0.0019	0.1587
O15439|cell-envelope	Cell_membrane	0.8218	0.0001	0.0001	0.0	0.0025	0.6682	0.0374	0.0	0.0143	0.2767	0.0006
O95342|cell-envelope	Cell_membrane	0.8229	0.0001	0.0004	0.0	0.0034	0.7207	0.0189	0.0001	0.0054	0.2496	0.0014
O14594|secreted	Extracellular	0.0001	0.0	0.0	0.998	0.0	0.0003	0.0014	0.0	0.0	0.0003	0.0
Q9Y4E1|cell-envelope	Nucleus	0.1035	0.7309	0.2335	0.0001	0.0002	0.0095	0.0006	0.0003	0.0207	0.0041	0.0002
Q6UXX5|secreted	Extracellular	0.1059	0.0007	0.0025	0.8109	0.0005	0.0832	0.0862	0.0	0.0036	0.0124	0.0
Q9BYE9|cell-envelope	Cell_membrane	0.9934	0.0003	0.0	0.0	0.0009	0.9168	0.0666	0.0001	0.0104	0.0048	0.0
Q9C0A0|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0	0.0
P08575|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9904	0.0085	0.0	0.001	0.0001	0.0
Q9NS15|secreted	Extracellular	0.0206	0.0001	0.0003	0.9064	0.0	0.0487	0.0182	0.0	0.0059	0.0205	0.0
Q9UQP3|secreted	Extracellular	0.002	0.0	0.0001	0.7236	0.0	0.0019	0.2239	0.0	0.0002	0.0503	0.0
Q4KMG0|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9998	0.0001	0.0	0.0	0.0	0.0
Q9P218|secreted	Extracellular	0.2229	0.0427	0.0766	0.5686	0.0145	0.2399	0.0341	0.0015	0.0105	0.0031	0.0085
P08183|cell-envelope	Cell_membrane	0.7908	0.0001	0.0006	0.0	0.0035	0.6916	0.0155	0.0001	0.0045	0.2822	0.0019
O95428|secreted	Extracellular	0.0	0.0	0.0001	0.9998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q5KSL6|cell-envelope	Cytoplasm	0.0199	0.3704	0.6143	0.0003	0.0001	0.0126	0.0002	0.0001	0.0005	0.0007	0.0008
O95622|cell-envelope	Cell_membrane	0.9618	0.0019	0.0003	0.0	0.0075	0.8915	0.0352	0.0008	0.0101	0.0512	0.0015
P32004|cell-envelope	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0001	0.0	0.0
Q2M3G0|cell-envelope	Cell_membrane	0.8843	0.0	0.0	0.0	0.0029	0.8135	0.0192	0.0	0.0046	0.1591	0.0005
Q8TDY8|cell-envelope	Cell_membrane	0.8955	0.0007	0.0002	0.0769	0.0001	0.8947	0.0167	0.0	0.0076	0.0031	0.0
Q01814|cell-envelope	Cell_membrane	0.9755	0.0001	0.0	0.0	0.0007	0.9471	0.0169	0.0	0.0034	0.0317	0.0001
O60500|cell-envelope	Cell_membrane	0.9977	0.0	0.0	0.0016	0.0001	0.9963	0.0015	0.0	0.0002	0.0003	0.0
P23634|cell-envelope	Cell_membrane	0.9606	0.0002	0.0	0.0	0.0009	0.8633	0.0545	0.0	0.0132	0.0678	0.0002
Q9HC56|cell-envelope	Cell_membrane	0.9991	0.0003	0.0	0.0	0.0011	0.9837	0.0127	0.0001	0.0019	0.0001	0.0
Q12791|cell-envelope	Cell_membrane	0.9947	0.0004	0.0	0.0	0.0005	0.9089	0.0743	0.0	0.0065	0.0093	0.0002
Q14957|cell-envelope	Cell_membrane	0.9995	0.0001	0.0	0.0001	0.0002	0.9969	0.0025	0.0	0.0002	0.0001	0.0
Q9HCE9|cell-envelope	Cell_membrane	0.9438	0.0473	0.0144	0.0	0.0221	0.8269	0.0649	0.0025	0.0167	0.0023	0.0028
Q5JUK3|cell-envelope	Cell_membrane	0.9691	0.0027	0.0002	0.0	0.0011	0.7858	0.1195	0.0	0.0319	0.0582	0.0007
Q13201|secreted	Extracellular	0.0869	0.034	0.1965	0.3305	0.1318	0.0316	0.1357	0.0101	0.0405	0.0851	0.0042
Q8TE57|secreted	Extracellular	0.0003	0.0026	0.0029	0.9936	0.0006	0.0002	0.0001	0.0	0.0	0.0001	0.0
Q8WXS8|secreted	Extracellular	0.0066	0.0005	0.0005	0.9956	0.0002	0.0018	0.0008	0.0	0.0002	0.0005	0.0
Q86SQ4|cell-envelope	Cell_membrane	0.9983	0.0	0.0	0.0	0.0	0.9921	0.0047	0.0	0.0014	0.0017	0.0
Q8TE60|secreted	Extracellular	0.0093	0.0399	0.015	0.9307	0.0014	0.0085	0.0012	0.001	0.001	0.0014	0.0
Q5TIE3|secreted	Cytoplasm	0.3019	0.1577	0.3005	0.1652	0.009	0.2925	0.0345	0.0027	0.0109	0.0168	0.0102
P20020|cell-envelope	Cell_membrane	0.9834	0.0001	0.0	0.0	0.0007	0.937	0.0313	0.0	0.0062	0.0246	0.0001
Q9Y6M7|cell-envelope	Cell_membrane	0.9416	0.0019	0.0003	0.0	0.0011	0.8259	0.0538	0.0001	0.0179	0.0984	0.0003
P55011|cell-envelope	Cell_membrane	0.9421	0.0	0.0	0.0	0.0002	0.9103	0.0059	0.0	0.0017	0.0817	0.0
P41594|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0003	0.0	0.0001	0.0	0.0
A4D2P6|cell-envelope	Cytoplasm	0.0161	0.1025	0.882	0.0	0.0001	0.0114	0.0002	0.0001	0.0019	0.0012	0.0006
O95450|secreted	Extracellular	0.0038	0.0003	0.0002	0.9386	0.0001	0.0054	0.0394	0.0	0.0013	0.0147	0.0
Q8TE59|secreted	Extracellular	0.022	0.0152	0.0091	0.9445	0.001	0.0162	0.0026	0.0	0.0037	0.0077	0.0
O15072|secreted	Extracellular	0.007	0.0096	0.0081	0.9378	0.0001	0.0392	0.0039	0.0	0.0	0.0014	0.0
Q9Y3Q4|cell-envelope	Cell_membrane	0.8487	0.0407	0.0505	0.0001	0.0294	0.8364	0.0166	0.0049	0.0055	0.0121	0.0038
Q13255|cell-envelope	Cell_membrane	0.9992	0.0	0.0	0.0	0.0001	0.9899	0.0086	0.0	0.0011	0.0003	0.0
Q6IE37|secreted	Extracellular	0.1545	0.0423	0.0782	0.4359	0.0048	0.0664	0.2457	0.0003	0.039	0.0871	0.0005
O75339|secreted	Extracellular	0.0016	0.0139	0.0019	0.9815	0.0001	0.0022	0.0002	0.0	0.0	0.0002	0.0
